score, centers, sigma, kmax
0.990000,100.000000,0.200000,4000.000000
0.987000,100.000000,0.200000,3600.000000
0.986000,100.000000,0.200000,3900.000000
0.985000,70.000000,0.200000,4900.000000
0.985000,90.000000,0.200000,3200.000000
0.985000,100.000000,0.200000,4100.000000
0.985000,100.000000,0.200000,4900.000000
0.984000,70.000000,0.200000,4500.000000
0.984000,100.000000,0.200000,3300.000000
0.984000,100.000000,0.200000,3500.000000
0.983000,70.000000,0.200000,4800.000000
0.983000,100.000000,0.200000,3800.000000
0.982000,100.000000,0.200000,2300.000000
0.982000,100.000000,0.200000,3400.000000
0.982000,100.000000,0.200000,4200.000000
0.982000,90.000000,0.200000,3000.000000
0.981000,70.000000,0.200000,3500.000000
0.981000,70.000000,0.200000,4100.000000
0.981000,90.000000,0.200000,2700.000000
0.980000,70.000000,0.200000,4000.000000
0.980000,70.000000,0.200000,4300.000000
0.980000,70.000000,0.200000,4700.000000
0.980000,70.000000,0.200000,2600.000000
0.980000,90.000000,0.200000,2300.000000
0.980000,80.000000,0.200000,4200.000000
0.980000,100.000000,0.200000,5000.000000
0.980000,100.000000,0.200000,3000.000000
0.980000,80.000000,0.300000,4800.000000
0.980000,90.000000,0.200000,2900.000000
0.979000,90.000000,0.200000,3300.000000
0.979000,100.000000,0.200000,3700.000000
0.979000,60.000000,0.200000,5000.000000
0.978000,100.000000,0.200000,1800.000000
0.978000,90.000000,0.300000,4700.000000
0.978000,90.000000,0.200000,2500.000000
0.978000,70.000000,0.200000,3800.000000
0.978000,90.000000,0.300000,4400.000000
0.978000,100.000000,0.200000,4600.000000
0.978000,90.000000,0.200000,4800.000000
0.978000,100.000000,0.200000,3100.000000
0.978000,90.000000,0.300000,3900.000000
0.977000,70.000000,0.200000,2700.000000
0.977000,70.000000,0.200000,3600.000000
0.977000,90.000000,0.300000,4300.000000
0.977000,90.000000,0.200000,2800.000000
0.977000,100.000000,0.200000,4400.000000
0.977000,90.000000,0.200000,3900.000000
0.976000,90.000000,0.200000,3100.000000
0.976000,50.000000,0.300000,3800.000000
0.976000,80.000000,0.300000,5000.000000
0.976000,90.000000,0.200000,4700.000000
0.976000,100.000000,0.300000,4500.000000
0.976000,100.000000,0.300000,4100.000000
0.976000,90.000000,0.200000,4600.000000
0.976000,100.000000,0.200000,4300.000000
0.975000,100.000000,0.100000,4800.000000
0.975000,90.000000,0.200000,3400.000000
0.975000,90.000000,0.200000,2100.000000
0.974000,90.000000,0.200000,3600.000000
0.974000,80.000000,0.200000,4500.000000
0.974000,80.000000,0.200000,3200.000000
0.974000,90.000000,0.200000,3800.000000
0.974000,80.000000,0.200000,3000.000000
0.974000,80.000000,0.200000,2800.000000
0.974000,80.000000,0.300000,2000.000000
0.974000,60.000000,0.200000,4300.000000
0.974000,80.000000,0.200000,4400.000000
0.974000,70.000000,0.200000,3100.000000
0.973000,40.000000,0.300000,4000.000000
0.973000,90.000000,0.200000,4000.000000
0.973000,80.000000,0.300000,4000.000000
0.973000,80.000000,0.200000,5000.000000
0.973000,100.000000,0.300000,3400.000000
0.973000,80.000000,0.200000,3900.000000
0.973000,80.000000,0.200000,2900.000000
0.973000,70.000000,0.200000,3200.000000
0.973000,80.000000,0.200000,4700.000000
0.973000,90.000000,0.200000,4100.000000
0.973000,90.000000,0.300000,4900.000000
0.973000,90.000000,0.200000,4300.000000
0.973000,90.000000,0.200000,2400.000000
0.972000,70.000000,0.200000,2800.000000
0.972000,90.000000,0.300000,4600.000000
0.972000,100.000000,0.200000,2000.000000
0.972000,90.000000,0.200000,5000.000000
0.972000,100.000000,0.300000,4300.000000
0.972000,80.000000,0.300000,4100.000000
0.972000,100.000000,0.200000,3200.000000
0.972000,80.000000,0.300000,3800.000000
0.972000,70.000000,0.300000,5000.000000
0.972000,80.000000,0.300000,4700.000000
0.972000,100.000000,0.200000,2600.000000
0.972000,60.000000,0.300000,3900.000000
0.972000,80.000000,0.200000,4100.000000
0.972000,80.000000,0.200000,4600.000000
0.971000,70.000000,0.200000,1900.000000
0.971000,70.000000,0.300000,4900.000000
0.971000,60.000000,0.300000,4500.000000
0.971000,90.000000,0.300000,4800.000000
0.971000,100.000000,0.200000,4500.000000
0.971000,70.000000,0.300000,3300.000000
0.971000,90.000000,0.200000,3700.000000
0.971000,90.000000,0.200000,2600.000000
0.971000,80.000000,0.300000,3100.000000
0.970000,70.000000,0.300000,4700.000000
0.970000,100.000000,0.100000,4500.000000
0.970000,90.000000,0.200000,2000.000000
0.970000,90.000000,0.300000,4500.000000
0.970000,90.000000,0.300000,4200.000000
0.970000,70.000000,0.200000,2900.000000
0.970000,60.000000,0.200000,4900.000000
0.970000,90.000000,0.300000,3400.000000
0.969000,90.000000,0.200000,4200.000000
0.969000,100.000000,0.200000,4700.000000
0.969000,50.000000,0.300000,3700.000000
0.969000,90.000000,0.200000,4900.000000
0.969000,100.000000,0.300000,2900.000000
0.969000,80.000000,0.200000,2700.000000
0.969000,100.000000,0.300000,4700.000000
0.969000,70.000000,0.200000,3000.000000
0.969000,70.000000,0.200000,4400.000000
0.969000,60.000000,0.200000,3800.000000
0.969000,100.000000,0.300000,2500.000000
0.969000,100.000000,0.300000,4000.000000
0.969000,80.000000,0.200000,2600.000000
0.968000,30.000000,0.300000,3100.000000
0.968000,100.000000,0.100000,4400.000000
0.968000,90.000000,0.200000,4400.000000
0.968000,100.000000,0.100000,4900.000000
0.968000,100.000000,0.300000,3300.000000
0.968000,100.000000,0.200000,2100.000000
0.968000,70.000000,0.300000,4300.000000
0.968000,90.000000,0.300000,3200.000000
0.968000,50.000000,0.300000,1400.000000
0.968000,100.000000,0.200000,2900.000000
0.968000,80.000000,0.200000,3800.000000
0.968000,90.000000,0.200000,3500.000000
0.968000,80.000000,0.200000,4800.000000
0.967000,100.000000,0.300000,3800.000000
0.967000,40.000000,0.300000,3000.000000
0.967000,100.000000,0.100000,4700.000000
0.967000,30.000000,0.300000,3500.000000
0.967000,30.000000,0.300000,4900.000000
0.967000,80.000000,0.200000,2300.000000
0.967000,60.000000,0.200000,4700.000000
0.967000,100.000000,0.200000,2800.000000
0.967000,60.000000,0.200000,4000.000000
0.967000,80.000000,0.200000,4900.000000
0.967000,70.000000,0.200000,3900.000000
0.967000,60.000000,0.200000,3500.000000
0.967000,60.000000,0.200000,3900.000000
0.967000,100.000000,0.200000,4800.000000
0.967000,100.000000,0.100000,3700.000000
0.966000,60.000000,0.300000,4400.000000
0.966000,100.000000,0.100000,5000.000000
0.966000,60.000000,0.200000,4600.000000
0.966000,100.000000,0.100000,4300.000000
0.966000,60.000000,0.300000,4000.000000
0.966000,100.000000,0.200000,1900.000000
0.966000,70.000000,0.300000,4100.000000
0.966000,90.000000,0.200000,2200.000000
0.966000,100.000000,0.200000,2500.000000
0.966000,100.000000,0.300000,2400.000000
0.966000,70.000000,0.200000,4200.000000
0.966000,50.000000,0.300000,1900.000000
0.966000,50.000000,0.300000,3100.000000
0.966000,60.000000,0.200000,1600.000000
0.966000,60.000000,0.300000,5000.000000
0.965000,80.000000,0.200000,2500.000000
0.965000,60.000000,0.200000,2300.000000
0.965000,80.000000,0.200000,2100.000000
0.965000,60.000000,0.300000,2900.000000
0.965000,60.000000,0.300000,3000.000000
0.965000,60.000000,0.200000,2900.000000
0.965000,80.000000,0.200000,3500.000000
0.965000,40.000000,0.300000,4900.000000
0.965000,90.000000,0.300000,3100.000000
0.965000,70.000000,0.200000,1800.000000
0.965000,40.000000,0.300000,4700.000000
0.965000,90.000000,0.300000,3800.000000
0.965000,80.000000,0.300000,3600.000000
0.964000,100.000000,0.100000,4200.000000
0.964000,90.000000,0.300000,5000.000000
0.964000,90.000000,0.200000,4500.000000
0.964000,100.000000,0.200000,1000.000000
0.964000,70.000000,0.200000,5000.000000
0.964000,80.000000,0.300000,3700.000000
0.964000,90.000000,0.300000,2000.000000
0.964000,60.000000,0.300000,3100.000000
0.963000,90.000000,0.300000,3600.000000
0.963000,80.000000,0.300000,2200.000000
0.963000,60.000000,0.200000,3300.000000
0.963000,60.000000,0.300000,2400.000000
0.963000,70.000000,0.200000,3300.000000
0.963000,60.000000,0.200000,2700.000000
0.963000,100.000000,0.200000,2700.000000
0.963000,50.000000,0.300000,3600.000000
0.963000,100.000000,0.200000,900.000000
0.963000,90.000000,0.300000,1500.000000
0.963000,80.000000,0.200000,4000.000000
0.963000,50.000000,0.300000,3200.000000
0.963000,100.000000,0.300000,3600.000000
0.963000,100.000000,0.100000,3900.000000
0.963000,80.000000,0.300000,4600.000000
0.963000,70.000000,0.200000,2400.000000
0.963000,60.000000,0.300000,3800.000000
0.963000,100.000000,0.100000,3100.000000
0.963000,60.000000,0.200000,2800.000000
0.962000,30.000000,0.300000,3200.000000
0.962000,60.000000,0.200000,4100.000000
0.962000,100.000000,0.100000,3000.000000
0.962000,90.000000,0.300000,3700.000000
0.962000,50.000000,0.200000,3200.000000
0.962000,70.000000,0.300000,4500.000000
0.962000,100.000000,0.200000,2200.000000
0.962000,90.000000,0.300000,2200.000000
0.962000,80.000000,0.300000,3900.000000
0.962000,50.000000,0.300000,4800.000000
0.962000,70.000000,0.200000,3400.000000
0.961000,100.000000,0.300000,3700.000000
0.961000,40.000000,0.300000,4800.000000
0.961000,60.000000,0.200000,3400.000000
0.961000,100.000000,0.300000,3500.000000
0.961000,40.000000,0.300000,4100.000000
0.961000,100.000000,0.300000,2000.000000
0.961000,100.000000,0.300000,4900.000000
0.961000,60.000000,0.300000,4200.000000
0.961000,70.000000,0.300000,4600.000000
0.961000,70.000000,0.300000,3100.000000
0.961000,80.000000,0.300000,4300.000000
0.960000,80.000000,0.200000,1900.000000
0.960000,40.000000,0.300000,4300.000000
0.960000,60.000000,0.200000,3100.000000
0.960000,80.000000,0.200000,1400.000000
0.960000,100.000000,0.300000,4800.000000
0.960000,80.000000,0.300000,4500.000000
0.960000,60.000000,0.200000,1700.000000
0.960000,100.000000,0.100000,3800.000000
0.960000,90.000000,0.300000,2500.000000
0.960000,50.000000,0.300000,3500.000000
0.960000,60.000000,0.200000,1100.000000
0.959000,80.000000,0.200000,1300.000000
0.959000,60.000000,0.200000,2200.000000
0.959000,100.000000,0.200000,1400.000000
0.959000,60.000000,0.200000,1300.000000
0.959000,80.000000,0.200000,1200.000000
0.959000,100.000000,0.100000,3500.000000
0.959000,60.000000,0.200000,1500.000000
0.959000,80.000000,0.300000,4900.000000
0.959000,60.000000,0.200000,4200.000000
0.959000,50.000000,0.200000,3300.000000
0.958000,60.000000,0.200000,2500.000000
0.958000,50.000000,0.300000,4700.000000
0.958000,100.000000,0.300000,1700.000000
0.958000,50.000000,0.300000,4000.000000
0.958000,60.000000,0.200000,1800.000000
0.958000,40.000000,0.300000,4500.000000
0.958000,60.000000,0.200000,2100.000000
0.958000,100.000000,0.100000,4600.000000
0.958000,70.000000,0.200000,2300.000000
0.957000,80.000000,0.300000,2700.000000
0.957000,50.000000,0.300000,4100.000000
0.957000,90.000000,0.300000,4100.000000
0.957000,70.000000,0.300000,3800.000000
0.957000,30.000000,0.300000,3600.000000
0.957000,100.000000,0.300000,2300.000000
0.957000,60.000000,0.300000,2800.000000
0.957000,80.000000,0.300000,2600.000000
0.957000,50.000000,0.300000,4900.000000
0.957000,60.000000,0.200000,2000.000000
0.957000,60.000000,0.200000,3000.000000
0.956000,40.000000,0.300000,4600.000000
0.956000,90.000000,0.200000,1100.000000
0.956000,40.000000,0.300000,4200.000000
0.956000,60.000000,0.300000,3500.000000
0.956000,100.000000,0.200000,1500.000000
0.956000,80.000000,0.300000,4400.000000
0.956000,100.000000,0.200000,1700.000000
0.956000,70.000000,0.200000,1100.000000
0.956000,60.000000,0.200000,3600.000000
0.956000,100.000000,0.100000,2700.000000
0.956000,80.000000,0.200000,1800.000000
0.956000,60.000000,0.200000,2600.000000
0.956000,60.000000,0.200000,4400.000000
0.955000,90.000000,0.300000,2700.000000
0.955000,40.000000,0.300000,4400.000000
0.955000,50.000000,0.300000,4600.000000
0.955000,100.000000,0.300000,5000.000000
0.955000,50.000000,0.200000,2800.000000
0.955000,70.000000,0.300000,2200.000000
0.955000,70.000000,0.200000,2000.000000
0.955000,60.000000,0.400000,4000.000000
0.955000,90.000000,0.300000,2900.000000
0.955000,100.000000,0.100000,2600.000000
0.955000,80.000000,0.300000,3500.000000
0.955000,60.000000,0.200000,1400.000000
0.955000,60.000000,0.200000,1200.000000
0.954000,100.000000,0.100000,4100.000000
0.954000,80.000000,0.200000,1600.000000
0.954000,60.000000,0.300000,2500.000000
0.954000,100.000000,0.100000,4000.000000
0.954000,40.000000,0.200000,4600.000000
0.954000,30.000000,0.300000,2800.000000
0.954000,70.000000,0.200000,1500.000000
0.954000,50.000000,0.300000,3400.000000
0.954000,50.000000,0.200000,3800.000000
0.953000,80.000000,0.200000,1500.000000
0.953000,90.000000,0.200000,1900.000000
0.953000,50.000000,0.200000,3700.000000
0.953000,80.000000,0.200000,1000.000000
0.953000,70.000000,0.200000,800.000000
0.953000,100.000000,0.300000,3100.000000
0.953000,100.000000,0.200000,1600.000000
0.953000,50.000000,0.200000,3600.000000
0.953000,100.000000,0.300000,1600.000000
0.953000,40.000000,0.300000,2500.000000
0.953000,60.000000,0.200000,2400.000000
0.953000,80.000000,0.300000,3400.000000
0.953000,50.000000,0.200000,3900.000000
0.953000,100.000000,0.100000,2900.000000
0.953000,100.000000,0.400000,4800.000000
0.953000,70.000000,0.300000,4800.000000
0.952000,90.000000,0.300000,3300.000000
0.952000,80.000000,0.300000,3300.000000
0.952000,100.000000,0.200000,1300.000000
0.952000,90.000000,0.300000,700.000000
0.952000,90.000000,0.200000,700.000000
0.952000,40.000000,0.300000,3900.000000
0.952000,40.000000,0.300000,3800.000000
0.952000,60.000000,0.300000,1600.000000
0.952000,100.000000,0.300000,1200.000000
0.952000,80.000000,0.300000,2800.000000
